This job can be monitored from: https://job.c3se.chalmers.se/alvis/3967338
>>> Training with SGD
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┃          92  ┃      0.0018  │     93.76 %  ┃      0.0019 │     93.90 %┃
┃          92  ┃      0.0018  │     93.76 %  ┃      0.0019 │     93.96 %┃
┃          93  ┃      0.0017  │     94.10 %  ┃      0.0019 │     93.96 %┃
┃          93  ┃      0.0017  │     94.10 %  ┃      0.0019 │     93.84 %┃
┃          94  ┃      0.0017  │     93.98 %  ┃      0.0019 │     93.84 %┃
┃          94  ┃      0.0017  │     93.98 %  ┃      0.0019 │     93.90 %┃
┃          95  ┃      0.0017  │     94.10 %  ┃      0.0019 │     93.90 %┃
┃          95  ┃      0.0017  │     94.10 %  ┃      0.0019 │     93.95 %┃
┃          96  ┃      0.0018  │     93.82 %  ┃      0.0019 │     93.95 %┃
┃          96  ┃      0.0018  │     93.82 %  ┃      0.0019 │     93.86 %┃
┃          97  ┃      0.0017  │     94.08 %  ┃      0.0019 │     93.86 %┃
┃          97  ┃      0.0017  │     94.08 %  ┃      0.0019 │     93.96 %┃
┃          98  ┃      0.0017  │     94.06 %  ┃      0.0019 │     93.96 %┃
┃          98  ┃      0.0017  │     94.06 %  ┃      0.0019 │     93.90 %┃
┃          99  ┃      0.0017  │     94.20 %  ┃      0.0019 │     93.90 %┃
┃          99  ┃      0.0017  │     94.20 %  ┃      0.0019 │     93.89 %┃

>>> Training with SAM
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┠──────────────╂──────────────┼──────────────╂─────────────┼─────────┨
┃           0  ┃      0.0183  │     13.28 %  ┃      0.0000 │      0.00 %┃
┃           0  ┃      0.0183  │     13.28 %  ┃      0.0181 │     13.15 %┃
┃           1  ┃      0.0159  │     22.50 %  ┃      0.0181 │     13.15 %┃
┃           1  ┃      0.0159  │     22.50 %  ┃      0.0156 │     22.30 %┃
┃           2  ┃      0.0151  │     26.04 %  ┃      0.0156 │     22.30 %┃
